id,publisher,publisher_id
24960,Electronic Arts,560145306
225260,Double Fine Productions,-439660312
211500,Sector3 Studios,-982476805
211500,RaceRoom Entertainment AG,-643820993
40970,FireFly Studios,-503110355
237310,KOG Games,1990142712
33230,Ubisoft,-2080260409
333950,Keen Software House,1932581155
289650,Ubisoft,-2080260409
474960,Microsoft Studios,-2099338945
391040,Codemasters,-742141607
391040,Feral Interactive,-1186516368
215280,Funcom,863648403
545580,Neon Green Pin Games,876284597
246620,Ndemic Creations,-421246863
42700,Activision,-1606173463
332310,Warner Bros. Interactive Entertainment,-750143379
212070,Gaijin Entertainment,-1171432744
366220,Plug In Digital,-732623430
282440,Bethesda Softworks,-950390578
299360,Toadman Interactive,-1250066896
299360,Jagex,452741126
22370,Bethesda Softworks,-950390578
500,Valve,-2110134855
248390,Black Maple Games,-312898783
344760,Code}{atch,-1106889255
371660,Ubisoft,-2080260409
203140,Io-Interactive A/S,350919895
203140,Feral Interactive,-1186516368
562730,Badim,2099769162
39120,Trion Worlds,880374599
571740,Perfuse Entertainment,-1341126038
619330,Alekseev,-1732442396
212200,Nexon America Inc.,1723677131
355840,Vostok Games,-1498100981
554620,Square Enix,-1704654576
554620,Feral Interactive,-1186516368
526290,TrisPix Studio,1562264282
672680,Bytro Labs GmbH,-555407290
274190,Devolver Digital,-1539353560
9420,Square Enix,-1704654576
636480,SteelRaven7,232953980
268400,Slitherine Ltd.,1265343134
110800,Rockstar Games,976899290
412290,New Reality Games,-1272302406
221040,Capcom,78587240
48720,TaleWorlds Entertainment,551950037
232890,FireFly Studios,-503110355
39140,Square Enix,-1704654576
11020,Ubisoft,-2080260409
22320,Bethesda Softworks,-950390578
647830,Warner Bros. Interactive,582708328
647830,Feral Interactive,-1186516368
421020,Codemasters,-742141607
421020,Feral Interactive,-1186516368
3590,"PopCap Games, Inc.",-997102652
460920,Ubisoft,-2080260409
463530,Slug Disco Studios,1032928390
359870,Square Enix,-1704654576
420360,3D Avenue,-1072383612
209000,Warner Bros. Interactive Entertainment,-750143379
578310,Desertkun,1658904987
223830,Goldhawk Interactive,1054256249
322110,Batterystaple Games,-1265408931
345350,Square Enix,-1704654576
323580,Thunder Lotus Games,1294907899
280,Valve,-2110134855
326410,Tasharen Entertainment Inc.,-119497202
17440,Electronic Arts,560145306
253900,Topware Interactive,-156903192
533340,New Worlds Games,748745492
271360,Toplitz Productions,700262986
551670,NedoStudio,-634857645
311340,Konami Digital Entertainment,1811655400
449140,treeform,1372977571
15210,Ubisoft,-2080260409
514900,Aspyr,802383246
319510,Scott Cawthon,-2117831889
552620,AtomTeam,1027900230
1900,Topware Interactive,-156903192
1900,ACE,665697917
286000,Pocketwatch Games,-1899694633
466860,Pixel Gangsta Studio,-541797175
466860,Flying Interactive,-1498330251
420440,Killerfish Games,-1813908068
491260,Charyb Games,-100134745
513570,Infernal Dream,712042865
235900,Degica,1728867434
293760,Camshaft Software,425258586
238430,"Monochrome, Inc",1534216625
567780,Nuno Donato,-1986499279
402220,89AM Studio,-1092507127
354920,KISS ltd,-1094735104
397350,Rebellion,1866442855
41500,Runic Games,264526409
