appid,Year,Month,mean,max
535260,2018,10,0.1386271870794078,13.0
535260,2019,10,0.0216216216216216,1.0
535260,2018,11,0.3054393305439331,8.0
535260,2019,11,0.0098314606741573,1.0
535260,2017,12,7.962962962962963,39.0
535260,2018,12,0.0551075268817204,2.0
535260,2019,12,0.0080753701211305,1.0
536220,2018,1,126.87755102040816,416.0
536220,2019,1,27.385964912280706,65.0
536220,2020,1,19.951351351351352,92.0
536220,2018,2,124.67363344051446,460.0
536220,2019,2,21.65424739195231,59.0
536220,2020,2,31.40981240981241,67.0
536220,2018,3,64.80753701211306,139.0
536220,2019,3,20.540983606557376,80.0
536220,2020,3,35.21370967741935,78.0
536220,2018,4,56.86908077994429,142.0
536220,2019,4,26.977464788732394,65.0
536220,2020,4,72.541782729805,165.0
536220,2018,5,51.30645161290322,104.0
536220,2019,5,17.989232839838493,42.0
536220,2020,5,47.61507402422611,93.0
536220,2018,6,93.64673157162726,229.0
536220,2019,6,17.24893917963225,39.0
536220,2020,6,61.628691983122366,273.0
536220,2018,7,110.48108108108109,267.0
536220,2019,7,14.527665317139002,31.0
536220,2020,7,148.06317204301075,309.0
536220,2018,8,148.28667563930014,366.0
536220,2019,8,13.130727762803234,27.0
536220,2020,8,74.86759581881533,138.0
536220,2018,9,87.47148817802504,227.0
536220,2019,9,11.471167369901549,31.0
536220,2018,10,53.02018842530283,135.0
536220,2019,10,8.502702702702702,26.0
536220,2018,11,31.86889818688982,74.0
536220,2019,11,9.76056338028169,26.0
536220,2017,12,155.21064814814815,367.0
536220,2018,12,22.47043010752688,55.0
536220,2019,12,8.954177897574125,29.0
537180,2018,1,708.6608200720176,1112.0
537180,2019,1,637.4627659574468,1420.0
537180,2020,1,765.6326622935987,1332.0
537180,2018,2,656.3539823008849,1089.0
537180,2019,2,872.7126179831098,1808.0
537180,2020,2,863.628084179971,1622.0
537180,2018,3,677.5040349697377,1255.0
537180,2019,3,632.5695567961718,1076.0
537180,2020,3,802.2694874985858,1290.0
537180,2018,4,638.7608746220051,994.0
537180,2019,4,856.5824317968015,1785.0
537180,2020,4,1025.4348770881434,1686.0
537180,2018,5,654.1746690599058,1014.0
537180,2019,5,673.4791642881607,1179.0
537180,2020,5,985.604199416124,1558.0
537180,2018,6,766.7663844101612,1327.0
537180,2019,6,509.2210302958859,939.0
537180,2020,6,700.2362232362233,1202.0
537180,2018,7,654.4333897349126,1014.0
537180,2019,7,613.0568504832291,1096.0
537180,2020,7,688.7629862828874,1105.0
537180,2018,8,726.9581740499212,1126.0
537180,2019,8,618.6700810445745,1085.0
537180,2020,8,725.7096209912537,1118.0
537180,2018,9,760.0814264142177,1182.0
537180,2019,9,676.7093676814989,1283.0
537180,2018,10,671.3895899053628,1080.0
537180,2019,10,597.1954751131221,1139.0
537180,2018,11,637.4872330547818,1080.0
537180,2019,11,658.5763529411764,1211.0
537180,2017,12,748.9706790123457,1122.0
537180,2018,12,598.0047132757267,921.0
537180,2019,12,678.3551190879332,1072.0
537800,2018,1,174.63498622589532,675.0
537800,2019,1,102.90495867768595,206.0
537800,2020,1,82.11570247933884,169.0
537800,2018,2,128.5220228384992,1056.0
537800,2019,2,92.3317384370016,203.0
537800,2020,2,77.10977701543739,145.0
537800,2018,3,225.55047106325708,1351.0
537800,2019,3,76.09351432880845,171.0
537800,2020,3,110.4171511627907,253.0
537800,2018,4,84.27437325905292,172.0
